id;date;description;amount
1;2019-06-20T18:38:45;National Awesome sky blue;4522
2;2019-06-20T09:55:38;navigating;74732
3;2019-06-21T02:28:58;generating compelling;28093
4;2019-06-20T18:25:36;bifurcated scalable;16526
5;2019-06-21T07:12:22;Administrator;77224
6;2019-06-20T23:31:05;24 hour;1407
7;2019-06-20T13:25:28;monitor;72900
8;2019-06-20T14:01:52;Checking Account Identity deposit;91495
9;2019-06-20T12:16:51;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-06-20T17:00:48;New York tangible Mississippi;38292
