id;name;balance
1;geez modulo;27657.64
2;juicy boo;13302.96
3;pro gee boo;29784.41
4;on always blah;2544.43
5;impassioned tarragon;31334.66
6;what;16859.88
7;nor fooey;1188.88
8;reapply via;10942.47
9;qua;29194.45
10;helpfully graft;9154.54
11;hearten opposite rectangular;10218.01
12;meh whoever kissingly;25020.59
13;seemingly enfold institute;1362.95
14;young honestly;22606.62
15;gaseous;32347.87
16;psst how unless;29055.72
17;scarper er;20496.45
18;vacantly qua satisfy;27797.75
19;orchid;31586.36
20;under;18399.64
21;hm hmph;24630.67
22;utterly pro colorfully;31982.99
23;ethical;195.43
24;when fatal;10713.27
25;actual mockingly;23105
26;yowza newsprint boyfriend;21489.99
27;writ tromp boo;10536.45
28;but instantly;29805.44
29;boo;2654.35
30;scarper;22037.37
