id;date;description;amount
1;2019-10-10T04:13:54;National Awesome sky blue;4522
2;2019-10-09T19:30:47;navigating;74732
3;2019-10-10T12:04:07;generating compelling;28093
4;2019-10-10T04:00:44;bifurcated scalable;16526
5;2019-10-10T16:47:31;Administrator;77224
6;2019-10-10T09:06:14;24 hour;1407
7;2019-10-09T23:00:37;monitor;72900
8;2019-10-09T23:37:01;Checking Account Identity deposit;91495
9;2019-10-09T21:52:00;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-10-10T02:35:57;New York tangible Mississippi;38292
